role,module,action,allowed,updated_at,updated_by
admin,du_an,delete,t,2026-07-14 08:18:51.879439+00,
phong_kt,du_an,delete,f,2026-07-14 08:18:51.879439+00,
phu_trach_dv,du_an,delete,f,2026-07-14 08:18:51.879439+00,
ktv,du_an,delete,f,2026-07-14 08:18:51.879439+00,
readonly,du_an,delete,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,du_an,delete,f,2026-07-14 08:18:51.879439+00,
to_truong,du_an,delete,f,2026-07-14 08:18:51.879439+00,
admin,du_an,approve,t,2026-07-14 08:18:51.879439+00,
phong_kt,du_an,approve,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,du_an,approve,t,2026-07-14 08:18:51.879439+00,
ktv,du_an,approve,f,2026-07-14 08:18:51.879439+00,
readonly,du_an,approve,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,du_an,approve,t,2026-07-14 08:18:51.879439+00,
to_truong,du_an,approve,f,2026-07-14 08:18:51.879439+00,
admin,du_an,export,t,2026-07-14 08:18:51.879439+00,
phong_kt,du_an,export,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,du_an,export,t,2026-07-14 08:18:51.879439+00,
ktv,du_an,export,f,2026-07-14 08:18:51.879439+00,
readonly,du_an,export,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,du_an,export,t,2026-07-14 08:18:51.879439+00,
to_truong,du_an,export,f,2026-07-14 08:18:51.879439+00,
admin,du_an,import,t,2026-07-14 08:18:51.879439+00,
phong_kt,du_an,import,f,2026-07-14 08:18:51.879439+00,
phu_trach_dv,du_an,import,f,2026-07-14 08:18:51.879439+00,
ktv,du_an,import,f,2026-07-14 08:18:51.879439+00,
readonly,du_an,import,f,2026-07-14 08:18:51.879439+00,
quan_ly_du_an,du_an,import,f,2026-07-14 08:18:51.879439+00,
to_truong,du_an,import,f,2026-07-14 08:18:51.879439+00,
admin,kho,view,t,2026-07-14 08:18:51.879439+00,
phong_kt,kho,view,t,2026-07-14 08:18:51.879439+00,
phu_trach_dv,kho,view,t,2026-07-14 08:18:51.879439+00,
